RecipeName,Desc,Icon,Ing1Name,Ing1Count,Ing2Name,Ing2Count,Tier,Category,UnlockId,UnlockHint
Hand Axe,돌로 만든 주먹도끼. 나무를 벨 때 씁니다.,57345d4aa6a640419af19e340c29940f,Stone,2,,0,1,tool,,
Stone Pickaxe,광석을 캐고 큰 돌을 깨는 단단한 도구입니다.,428577ffb2964719b8ab0bb18e5171e1,Wood,1,Stone,3,1,tool,,
Stone Axe,돌과 나무로 만든 도끼. 나무를 더 빨리 벱니다.,2e0751aabbb14ccf85cfb99c024511c9,Stone,3,Wood,1,1,tool,,
Wooden Chest,남는 재료를 넣어 두는 간단한 상자입니다.,22e9f409617b4e4180f9c92fb26b13f7,Wood,8,,0,1,furniture,,
Bed,나무 침대. 누워 체력과 스태미나를 회복합니다.,c63a594904e941bbb8971237562781d3,Wood,10,,0,1,furniture,,
Furnace,광석을 제련하는 돌 화로입니다.,8cb667c940834bb9b19c11ae242a0aa1,Stone,8,Wood,4,1,furniture,,
Cooking Pot,버프 음식을 만드는 조리 냄비입니다.,3924ca24db0144cf8086380f3ffe3c6a,Stone,6,Wood,4,1,furniture,quest_cooking_pot,퀘스트 '넓은 세계로' 보상
Wood Floor,건축용 나무 바닥 타일입니다.,222a3bc317844763ab817f9f0553a26e,Wood,2,,0,1,furniture,,
Shovel,흙길을 파는 단단한 삽입니다.,428577ffb2964719b8ab0bb18e5171e1,Wood,2,Stone,1,1,tool,,
Hoe,풀 테두리 흙 구덩이를 파는 호미입니다.,428577ffb2964719b8ab0bb18e5171e1,Wood,2,Stone,1,1,tool,,
Grass Seed,맨땅에 풀을 심어 녹지를 되돌립니다.,cd12afe0e3484db08d74c6e69f728683,Grass,1,,0,1,resource,,
Roasted Grass,살짝 구운 풀. 먹으면 채집 집중이 조금 오릅니다.,42832e2321194c6c9f6cbbe0d6e8b234,Grass,1,,0,1,consumable,,
Copper Pickaxe,정제된 구리 곡괭이입니다.,thumbnail://79904036a8a1457cb9b5c624084383b8,Copper Bar,3,Wood,1,2,tool,research_copper_tools,연구소: '구리 도구' 연구
Copper Axe,정제된 구리 도끼입니다.,thumbnail://233fd0760c124458b57928542f77bdc2,Copper Bar,3,Wood,1,2,tool,research_copper_tools,연구소: '구리 도구' 연구
Iron Pickaxe,단단한 철 곡괭이입니다.,thumbnail://475260585aa44acba3bca0e4b820e208,Iron Bar,3,Wood,1,3,tool,research_iron_tools,연구소: '철 도구' 연구
Iron Axe,단단한 철 도끼입니다.,thumbnail://963cde7d88654f4a94b045e035ca1cae,Iron Bar,3,Wood,1,3,tool,research_iron_tools,연구소: '철 도구' 연구
Fishing Rod,나무로 만든 간단한 낚싯대입니다.,460cfed8406645d7a145883a3e51bc4c,Wood,2,,0,1,tool,,
Animal Pen,영지 농장에 두는 가축우리입니다.,5c883e34d4eb47ddb73df95e239fe737,Wood,12,Stone,4,1,furniture,,
Monster Ward,낚시 중 몬스터를 멀리 떨어뜨립니다. 사냥터·보스맵에 설치하세요.,aba58d2139ca4736bab39f6b4c39aa37,Wood,6,Stone,4,1,furniture,,
Water Spade,영지에 연못을 만드는 넓은 삽입니다.,428577ffb2964719b8ab0bb18e5171e1,Wood,2,Stone,2,1,tool,,
