id,Name,DisplayName,ModelName,EntryId,Category,ToolType,ToolPower,IconRUID,PlacedTileName,Rarity,Tradable,Description,WeaponRUID,SwingAction,WeaponSlot,TerrainEditAction,UseUnlockId,UseBuffId,PreviewRUID,FurnitureKind,IsCurrency,UseAnimalId,UsePetId,TerrainEditCooldown,SwingSoundRUID,HitSoundRUID,AvoidRadius,AvoidExitRadius,ActiveDurationSec,MaxStack,Attack,ToolTier,MagicAttack,SkillAttack,Walkable,PreviewScale
wood,Wood,나무,Item_Wood,2cb8f37e-ef6b-4e17-86fb-d940f18a7412,resource,,0,b952164321fd4c9c94cb0d3e7c73b182,,Common,true,부드러운 나뭇가지. 기초 도구를 만드는 데 쓰입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
stone,Stone,돌,Item_Stone,05fa541a-a48d-4f36-bf82-0c60784a4a53,resource,,0,5ed8bdcf520044c0a1660873beb30b10,,Common,true,흔한 돌. 도구와 건물을 만드는 데 쓰입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
copper ore,Copper Ore,구리 광석,Item_CopperOre,3484bbf6-1973-4b23-a720-9d1b0754aa6f,resource,,0,914eb87802b64924b5f78bb97a55faeb,,Common,true,구리 광석 덩어리. 제련하면 구리 주괴가 됩니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
grass,Grass,풀,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,resource,,0,f0bce7f800f140559f35a12a93de9c9e,,Common,true,부드러운 들풀. 묶거나 보온에 쓸 수 있습니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
hand_axe,Hand Axe,주먹도끼,Item_HandAxe,8fdc2947-7735-4aa3-90ad-208438aeb809,tool,axe,0,thumbnail://384de1d5a70747a4b356484cf2753b5f,,Common,true,주먹에 쥔 거친 돌. 나무를 베는 가장 원시적인 도구입니다.,384de1d5a70747a4b356484cf2753b5f,swingO1,,,,,,,,,,,5f9fd5d11f054593a85b1c66e5829723,d477416e1af84d8386291b5660851d2d,,,,99,0,1,0,0,false,
stone_pickaxe,Stone Pickaxe,돌 곡괭이,Item_StonePickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,pickaxe,2,thumbnail://18a44a9f39a94633b56902492e5b7da6,,Common,true,단단한 돌 곡괭이. 큰 돌을 캐는 데 알맞습니다.,18a44a9f39a94633b56902492e5b7da6,swingT1,twohand,,,,,,,,,,dfed94ccf55e419bb8f1a447505f2b8a,b097e12f762a43ad84b2288baf57331e,,,,,0,2,0,0,false,
stone_axe,Stone Axe,돌 도끼,Item_StoneAxe,08cec3b5-eaaa-4b36-9957-0e96f0708161,tool,axe,2,thumbnail://09c266c572cc425b96b5b2b0d92defd1,,Common,true,개량된 도끼. 나무를 더 빨리 벱니다.,09c266c572cc425b96b5b2b0d92defd1,swingO2,,,,,,,,,,,96e8c2ffd1ba463b8e10639c31c5e323,d477416e1af84d8386291b5660851d2d,,,,,8,2,0,0,false,
wooden_chest,Wooden Chest,나무 상자,Item_WoodenChest,ebd82997-e2b7-4a6f-b3cc-0dc9380e529b,furniture,,0,22e9f409617b4e4180f9c92fb26b13f7,,Common,true,남는 재료를 넣어 두는 간단한 상자입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
furnace,Furnace,화로,Item_Furnace,f2d3a4b5-67c8-49d0-bfd1-ebd3c4a2a1b9,furniture,,0,8cb667c940834bb9b19c11ae242a0aa1,,Uncommon,true,광석을 금속 주괴로 제련하는 돌 화로입니다.,,,,,,,a3b810b8178847a0b9ec54bc4b63ba96,,,,,,,,,,,,0,0,0,0,false,0.75
iron_ore,Iron Ore,철 광석,Item_IronOre,71d8820c-c72e-4b2a-b7a4-ef8b337c2a01,resource,,0,79f438d0427142f09f979b58e982b1bd,,Uncommon,true,철 광석 덩어리. 제련하면 철 주괴가 됩니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
copper_bar,Copper Bar,구리 주괴,Item_CopperBar,1234cdef-5678-4321-abcd-ef1234567890,resource,,0,d7429bc723034933b9b51de9b6b912fc,,Uncommon,true,정제된 구리 주괴. 중간 단계 제작에 쓰입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
iron_bar,Iron Bar,철 주괴,Item_IronBar,9876fedc-5432-1234-abcd-ef9876543210,resource,,0,7ac77c77fdc0480080303b2dc0b96c35,,Rare,true,단단한 철 주괴. 상위 제작에 쓰입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
wood_floor,Wood Floor,나무 바닥,Item_WoodFloor,a0123456-789a-bcde-f012-3456789abcde,furniture,,0,222a3bc317844763ab817f9f0553a26e,Baram_167,Common,true,구조물을 짓는 나무 바닥 타일입니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
portal,Portal,포탈,Item_Portal,f9d3a4b5-67c8-49d0-bfd1-ebd3c4a2a1a0,furniture,,0,aba58d2139ca4736bab39f6b4c39aa37,,Epic,false,다른 맵으로 이동하는 마법 포탈입니다.,,,,,,,,portal,,,,,,,,,,,0,0,0,0,false,
copper_pickaxe,Copper Pickaxe,구리 곡괭이,Item_CopperPickaxe,e14352d0-ed09-41ed-8e18-e378150042c4,tool,pickaxe,3,thumbnail://1d9a1f0f8a004cce8938dff567313743,,Uncommon,true,정제된 구리 곡괭이. 광석을 캐는 데 효율적입니다.,1d9a1f0f8a004cce8938dff567313743,swingT1,twohand,,,,,,,,,,dfed94ccf55e419bb8f1a447505f2b8a,b097e12f762a43ad84b2288baf57331e,,,,,0,3,0,0,false,
copper_axe,Copper Axe,구리 도끼,Item_CopperAxe,eb72d08b-ac67-4e91-93a7-b7837a2d2b3a,tool,axe,3,thumbnail://5b0af54d1fd0489198f8c31183d130fa,,Uncommon,true,정제된 구리 도끼. 나무를 베는 데 효율적입니다.,5b0af54d1fd0489198f8c31183d130fa,swingO2,,,,,,,,,,,96e8c2ffd1ba463b8e10639c31c5e323,d477416e1af84d8386291b5660851d2d,,,,,12,3,0,0,false,
iron_pickaxe,Iron Pickaxe,철 곡괭이,Item_IronPickaxe,5a745447-dfd5-4712-bf9a-3d224bca3342,tool,pickaxe,5,thumbnail://54a842df20b94f37b0d7bdbc0c1d2acd,,Rare,true,단단한 철 곡괭이. 상위 채광에 필요합니다.,54a842df20b94f37b0d7bdbc0c1d2acd,swingT1,twohand,,,,,,,,,,96e8c2ffd1ba463b8e10639c31c5e323,b097e12f762a43ad84b2288baf57331e,,,,,0,4,0,0,false,
iron_axe,Iron Axe,철 도끼,Item_IronAxe,111ea19a-5b96-41b5-b8e3-3015beb4d37b,tool,axe,5,thumbnail://cdee4e069bc24b49b202f3bfe99bb8a0,,Rare,true,단단한 철 도끼. 상위 벌목에 필요합니다.,cdee4e069bc24b49b202f3bfe99bb8a0,swingO2,,,,,,,,,,,cc4775e4fe504321b1b42e7427cca089,d477416e1af84d8386291b5660851d2d,,,,,20,4,0,0,false,
coin,Coin,코인,Item_Coin,c011e001-e2b7-4a6f-b3cc-0dc9380e529b,resource,,0,02a489cccff24a139a6c3582a5871f58,,Common,true,상점에서 물건을 살 때 쓰는 화폐입니다.,,,,,,,,,true,,,,,,,,,,0,0,0,0,false,
bed,Bed,침대,Item_Bed,8a8d129b-41c5-435c-997f-0cb4c9af103b,furniture,,0,c63a594904e941bbb8971237562781d3,,Common,true,편안한 나무 침대. 누워 체력과 스태미나를 회복합니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
shovel,Shovel,삽,Item_StonePickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,shovel,0,thumbnail://f1b86bd8137f42ee99847b0079a16bce,,Common,true,"단단한 삽. 잔디를 파서 흙길을 내거나, 한 번 더 파서 밭을 일굴 2×2 넓은 흙터를 만듭니다.",f1b86bd8137f42ee99847b0079a16bce,stabO1,onehand,digPath,,,,,,,,0.25,d3108d8baab446d1a5f8668e5a3bedf9,,,,,,0,1,0,0,false,
hoe,Hoe,호미,Item_StonePickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,hoe,0,thumbnail://db5c8f98b77f4f1a9e7505eac4d5f496,,Common,true,"단단한 호미. 삽으로 일군 2×2 흙터 위에 작물을 심을 밭을 만들거나, 다시 일궈 흙으로 되메웁니다.",db5c8f98b77f4f1a9e7505eac4d5f496,swingT1,twohand,digHole,,,,,,,,0.25,d3108d8baab446d1a5f8668e5a3bedf9,,,,,,0,1,0,0,false,
grass_seed,Grass Seed,풀씨,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,resource,,0,cd12afe0e3484db08d74c6e69f728683,,Common,true,풀씨 한 줌. 파여진 흙이나 길에 뿌려 2×2 푸른 잔디를 되돌립니다.,,,,plantGrass,,,,,,,,0.25,,,,,,,0,0,0,0,false,
carrot_seed,Carrot Seed,당근 씨앗,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,furniture,,0,fee050300f79485fb85bc747edf8d077,,Common,true,당근 씨앗. 호미로 일군 밭에 심어 수확합니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
carrot,Carrot,당근,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,resource,,0,ccd086795e1e42d880d5485a422b71fe,,Common,true,갓 수확한 당근. 팔거나 요리에 씁니다.,,,,,,,,,,,,,,,,,,,0,0,0,0,false,
recipe_scroll_copper,Recipe Scroll: Copper Tools,제작 두루마리: 구리 도구,Item_Wood,2cb8f37e-ef6b-4e17-86fb-d940f18a7412,consumable,,0,b435d5054c564362b714dc19cec5afad,,Rare,false,고대 두루마리. 사용하면 구리 도구 제작법을 배웁니다.,,,,,research_copper_tools,,,,,,,,,,,,,,0,0,0,0,false,
recipe_scroll_iron,Recipe Scroll: Iron Tools,제작 두루마리: 철 도구,Item_Wood,2cb8f37e-ef6b-4e17-86fb-d940f18a7412,consumable,,0,5dce5fcfe9ee479980c1ac36510647ad,,Epic,false,고대 두루마리. 사용하면 철 도구 제작법을 배웁니다.,,,,,research_iron_tools,,,,,,,,,,,,,,0,0,0,0,false,
roasted_grass,Roasted Grass,구운 풀,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,consumable,,0,42832e2321194c6c9f6cbbe0d6e8b234,,Common,true,살짝 구운 풀. 채집 집중을 조금 올려 줍니다.,,,,,,gather_boost_small,,,,,,,,,,,,,0,0,0,0,false,
carrot_soup,Carrot Soup,당근 수프,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,consumable,,0,4f0852b1fd204aaf99deec2e1863f329,,Uncommon,true,따뜻한 당근 수프. 채집 능력을 올려 줍니다.,,,,,,gather_boost_small,,,,,,,,,,,,,0,0,0,0,false,
veggie_stir_fry,Veggie Stir Fry,야채 볶음,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,consumable,,0,5d7ce8997c5745c4a0eac1cd923bc12a,,Uncommon,true,가벼운 야채 볶음. 이동 속도를 올려 줍니다.,,,,,,move_boost_small,,,,,,,,,,,,,0,0,0,0,false,
feast_dish,Feast Dish,잔치 요리,Item_Grass,896c7bd8-8a8a-48a8-a7c7-fc8c337c2a9b,consumable,,0,8fddfba91d1a494a8d8abd748363f87e,,Rare,true,푸짐한 잔치 요리. 채집 집중이 크게 오릅니다.,,,,,,gather_boost_big,,,,,,,,,,,,,0,0,0,0,false,
cooking_pot,Cooking Pot,조리 냄비,Item_Furnace,f2d3a4b5-67c8-49d0-bfd1-ebd3c4a2a1b9,furniture,,0,3924ca24db0144cf8086380f3ffe3c6a,,Uncommon,true,음식 버프를 만드는 조리 냄비입니다.,,,,,,,6017c4c6f4c94c6d8dced78d350d3dac,,,,,,,,,,,,0,0,0,0,false,
fishing_rod,Fishing Rod,낚싯대,Item_StonePickaxe,0f6274e2-70fd-409b-8a20-7999c099c721,tool,rod,0,thumbnail://f5a279e6b90449268ab74c7a59e0db42,,Common,true,나무로 만든 간단한 낚싯대입니다.,f5a279e6b90449268ab74c7a59e0db42,swingT1,twohand,,,,,,,,,,,,,,,,0,1,0,0,false,
